role_id,position_description_id,legacy_mapping_pd_id,mapping_rank,mapping_code,mapping_name,mapping_level,mapping_validated,validation_notes,framework_code_valid
5fb165c1-fbac-51fb-ad58-2bd4662a6357,59,10061,1,1028003000,TEACHING AND ASSESSMENT SUPPORT,Sub-family,,,1
c4ae893d-0c3d-55ed-80a1-a32bdec496e7,60,10062,1,1004000000,CAMPUS SERVICES,Job Family,Yes,,1
c4ae893d-0c3d-55ed-80a1-a32bdec496e7,60,10062,2,1022002000,COMMUNITY ENGAGEMENT,Sub-family,Yes,,1
2999c111-5518-5fed-b8c5-7a12df1c7ee3,61,10063,1,1028003001,TECHNICAL AND LEARNING ENVIRONMENTS,Specialisation,Yes,,1
1ff29991-bfa4-59b3-b6e2-b9cb9ac961f1,62,10064,1,1026001000,PROGRAM/PROJECT MANAGEMENT,Sub-family,Yes,,1
51ea1a2e-65e4-530e-843f-822218c3b272,63,10065,1,1030008000,IT SUPPORT AND SERVICE MANAGEMENT,Sub-family,,,1
51ea1a2e-65e4-530e-843f-822218c3b272,63,10065,2,1001001000,BUSINESS ANALYSIS,Sub-family,,,1
7bf9fd8b-850b-593d-b9ad-ae07715de561,64,10066,1,1004000000,CAMPUS SERVICES,Job Family,Yes,,1
7bf9fd8b-850b-593d-b9ad-ae07715de561,64,10066,2,1022002000,COMMUNITY ENGAGEMENT,Sub-family,Yes,,1
f741d675-d972-587a-a488-d24f86bf1aee,65,10067,1,1004000000,CAMPUS SERVICES,Job Family,Yes,,1
f741d675-d972-587a-a488-d24f86bf1aee,65,10067,2,1022002000,COMMUNITY ENGAGEMENT,Sub-family,Yes,,1
d9a09530-91f4-547a-b740-948adc540ead,66,10069,1,1014008001,RECRUITMENT (SPEC),Specialisation,Yes,,1
e915711c-bcc6-54fc-a197-a943faebec46,67,10070,1,1014007000,PAYROLL,Sub-family,Yes,,1
1de441ec-85da-5335-b8bc-256b46fda106,68,10071,1,1012001000,EDUCATION CONTRACT GOVERNANCE AND ASSURANCE,Sub-family,,,1
bdcf9441-3683-5933-9043-854d81d14f93,69,10072,1,1012002000,EDUCATION CONTRACT IMPLEMENTATION AND DELIVERY,Sub-family,,,1
ec06466c-d980-5705-b5bf-5bbdcebece4d,70,10073,1,1008001000,COURSE STRATEGY AND PORTFOLIO MANAGEMENT,Sub-family,,,1
f1eaea66-3206-5578-bb93-3b1a978db9d5,71,10074,1,1008002003,LEARNING TECHNOLOGY OPERATIONS,Specialisation,,,1
afddcf8d-7e67-55a3-95d7-5fecc94ea1a5,72,10075,1,1026001000,PROGRAM/PROJECT MANAGEMENT,Sub-family,Yes,,1
