classification_id,raw_label,display_label,abbreviation,cohort,seniority_order,enterprise_agreement,active,notes,updated_at
46,Early Childhood Officer - ACCWQ,Early Childhood Officer - ACCWQ,Childcare,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
47,Early Childhood Teacher,Early Childhood Teacher,Childcare,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
48,Exam Supervisor Grade 1,Exam Supervisor Grade 1,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
49,Exam Supervisor Grade 2,Exam Supervisor Grade 2,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
50,Head Teacher Band 2,Head Teacher Band 2,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
51,Head Teacher Band 3,Head Teacher Band 3,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
52,Learning Coordinator,Learning Coordinator,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
53,Librarian Technician Grade 1,Library Technician Grade 1,LTG1,Librarian,200.0,Specialist / legacy classification,1,,2026-07-16 04:49:17
54,Library Technician Grade 1,Library Technician Grade 1,LTG1,Librarian,200.0,Specialist / legacy classification,1,,2026-07-16 04:49:17
55,PSSE Band 1 / TCLC 1,PSSE Band 1 / TCLC 1,PSSE1,Senior Executive,160.0,Public Service Senior Executives,1,,2026-07-16 04:49:17
56,Senior Counsellor,Senior Counsellor,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
57,Special Program Coordinator,Special Program Coordinator,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
58,TAFE Manager 2,TAFE Manager Level 2,TM2,TM2-TM4,110.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
59,TAFE Manager Level 8,TAFE Manager Level 8,TWL8,TWL8-TM1,80.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
60,TAFE Manager level 3,TAFE Manager Level 3,TM3,TM2-TM4,120.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
61,TAFE Manger Level 2,TAFE Manager Level 2,TM2,TM2-TM4,110.0,TAFE Managers Enterprise Agreement,1,Possible typo normalised,2026-07-16 04:49:17
62,TAFE Manger Level 3,TAFE Manager Level 3,TM3,TM2-TM4,120.0,TAFE Managers Enterprise Agreement,1,Possible typo normalised,2026-07-16 04:49:17
63,TAFE Manger Level 4,TAFE Manager Level 4,TM4,TM2-TM4,130.0,TAFE Managers Enterprise Agreement,1,Possible typo normalised,2026-07-16 04:49:17
64,TAFE Woker Level 9,TAFE Worker Level 9,TWL9,TWL8-TM1,90.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,Possible typo normalised,2026-07-16 04:49:17
65,TAFE worker Level 9,TAFE Worker Level 9,TWL9,TWL8-TM1,90.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
66,Tafe worker level 1 / Tafe worker level 2 (Dependant on Award requirements),TAFE Worker Level 1,TWL1,TWL1-TWL4,10.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
67,Teacher,Teacher,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
68,Teacher - Base Grade,Teacher - Base Grade,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
69,Teacher – Base Grade,Teacher – Base Grade,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
